ARTISTA,ARTISTB
"['10390', 'arturo-o-farrill-s-afro-latin-jazz-orchestra', ""Arturo O'Farrill's Afro Latin Jazz Orchestra""]","['10389', 'arturo-o-farrill-afro-latin-jazz-orchestra', ""Arturo O'Farrill Afro Latin Jazz Orchestra""]"
"['104009', 'mother-merey-and-the-blackdirt', 'Mother Merey and the Blackdirt']","['104008', 'mother-merey-and-the-black-dirt', 'Mother Merey and the Black Dirt']"
"['104130', 'motown-on-mondays', 'Motown on Mondays']","['104129', 'motown-on-monday', 'Motown on Monday']"
"['10428', 'as-animals-eat-my-insides', 'As Animals Eat My Insides']","['10427', 'as-animals-ate-my-insides', 'As Animals Ate My Insides']"
"['104287', 'moving-castles', 'Moving Castles']","['104286', 'moving-castle', 'Moving Castle']"
"['104327', 'mozes-the-firstborn', 'Mozes & The Firstborn']","['176733', 'mozes-the-first-born', 'mozes & the first born']"
"['104347', 'mr-carmak', 'Mr Carmak']","['104444', 'mr-carmack', 'Mr. Carmack']"
"['104743', 'mulligans-match', 'Mulligans Match']","['104742', 'mulligan-s-match', ""Mulligan's Match""]"
"['104841', 'murder-fm', 'Murder FM']","['104840', 'murder-f-m', 'Murder F.M.']"
"['10487', 'as-these-last-seconds-excape', 'As These Last Seconds Excape']","['10486', 'as-these-last-seconds-escape', 'As These Last Seconds Escape']"
"['10491', 'as-thick-as-thieves', 'As Thick As Thieves']","['10490', 'as-thick-as-theives', 'As Thick As Theives']"
"['104920', 'murray-sawchuk', 'Murray Sawchuk']","['104919', 'murray-sawchuck', 'Murray Sawchuck']"
"['10586', 'asha-mccarthy', 'Asha McCarthy']","['10585', 'asha-mcarthy', 'Asha McArthy']"
"['106109', 'nahko-and-medicine-for-the-poeple', 'Nahko and Medicine for the Poeple']","['106108', 'nahko-and-medicine-for-the-people', 'Nahko and Medicine for the People']"
"['106379', 'nashville-electric-company', 'Nashville Electric Company']","['106378', 'nashville-electric-comany', 'Nashville Electric Comany']"
"['106522', 'natasha-bedingfield', 'Natasha Bedingfield']","['106521', 'natasha-bedingfied', 'Natasha Bedingfied']"
"['106697', 'nathaniel-rateliff-the-night-swetas', 'Nathaniel Rateliff & The Night Swetas']","['106696', 'nathaniel-rateliff-the-night-sweats', 'Nathaniel Rateliff & The Night Sweats']"
"['106765', 'nattalie-rize', 'Nattalie Rize']","['106764', 'nattali-rize', 'Nattali Rize']"
"['106972', 'necroptic-engorgement', 'Necroptic Engorgement']","['105708', 'necroptic-engoregement', 'NECROPTIC ENGOREGEMENT']"
"['106973', 'necroptic-engorgment', 'Necroptic Engorgment']","['106972', 'necroptic-engorgement', 'Necroptic Engorgement']"
