TYPE : TSP
DIMENSION : 744
EDGE_WEIGHT_TYPE : GEO
NODE_COORD_SECTION
243 39.9366 -82.4037
244 39.1149 -84.4376
245 39.1677 -86.5341
246 39.1398 -84.5131
247 39.5217 -84.3982
248 39.1149 -84.4376
249 39.0936 -84.4282
250 39.1943 -84.4007
251 41.7165 -83.7442
252 39.1149 -84.4376
253 39.9366 -82.4037
254 39.9366 -82.4037
255 39.9366 -82.4037
256 39.1149 -84.4376
257 39.0936 -84.4282
258 39.5647 -84.2695
259 39.0936 -84.4966
260 39.19 -84.4
261 39.1149 -84.4376
262 39.2278 -84.3247
263 39.1398 -84.5131
264 39.1149 -84.4376
265 39.0936 -84.4282
266 39.4872 -79.5326
267 39.4872 -79.5326
268 39.4872 -79.5326
269 39.1149 -84.4376
270 37.7439 -84.9843
271 39.1149 -84.4376
272 39.0936 -84.4282
273 39.9851 -83.0376
274 39.1149 -84.4376
275 39.0936 -84.4282
276 39.1149 -84.4376
277 39.0936 -84.4282
278 39.1943 -84.4007
279 39.1149 -84.4376
280 39.0936 -84.4282
281 39.1149 -84.4376
282 39.1149 -84.4376
283 39.0936 -84.4282
284 41.3191 -81.0358
285 41.3191 -81.0358
286 41.3191 -81.0358
287 41.3191 -81.0358
288 39.1149 -84.4376
289 39.0936 -84.4282
290 39.2072 -86.2511
291 39.1149 -84.4376
292 39.0936 -84.4282
293 40.38 -83.67
294 41.3191 -81.0358
295 39.1149 -84.4376
296 39.0936 -84.4282
297 38.8319 -84.4564
298 39.1149 -84.4376
299 42.2814 -83.751
300 42.2917 -85.5872
301 39.1398 -84.5131
302 39.1149 -84.4376
303 39.0936 -84.4282
304 37.7439 -84.9843
305 37.7439 -84.9843
306 37.7439 -84.9843
307 39.1149 -84.4376
308 39.0936 -84.4282
309 39.4456 -79.5467
310 39.4456 -79.5467
311 39.4456 -79.5467
312 39.1149 -84.4376
313 39.0936 -84.4282
314 39.9851 -83.0376
315 39.8053 -86.1679
316 40.0072 -83.0096
317 39.1149 -84.4376
318 39.0936 -84.4282
319 39.0962 -84.4964
320 39.1398 -84.5131
321 39.1149 -84.4376
322 39.3277 -82.1023
323 39.9851 -83.0376
324 39.1943 -84.4007
325 39.9366 -82.4037
326 40.0072 -83.0096
327 39.1398 -84.5131
328 40.0072 -83.0096
329 39.9848 -83.0376
330 40.4538 -80.0014
331 39.1149 -84.4376
332 39.1149 -84.4376
333 39.1943 -84.4007
334 41.7013 -83.5456
335 39.8072 -83.8875
336 40.0072 -83.0096
337 39.1149 -84.4376
338 38.2531 -85.6572
339 39.8053 -86.1679
340 39.3277 -82.1023
341 39.1149 -84.4376
342 39.1943 -84.4007
343 39.1943 -84.4007
344 39.1149 -84.4376
345 39.1943 -84.4007
346 38.5372 -82.6883
347 40.0543 -82.4177
348 39.1149 -84.4376
349 39.1149 -84.4376
350 39.3277 -82.1023
351 39.1149 -84.4376
352 39.8072 -83.8875
353 39.9848 -83.0376
354 39.1149 -84.4376
355 38.2531 -85.6572
356 39.2278 -84.3247
357 40.0072 -83.0096
358 39.1149 -84.4376
359 39.7632 -84.1868
360 39.1149 -84.4376
361 39.1149 -84.4376
362 39.9848 -83.0376
363 39.3277 -82.1023
364 39.8053 -86.1679
365 39.1677 -86.5341
366 39.9848 -83.0376
367 41.0638 -80.0557
368 38.2531 -85.6572
369 39.7789 -84.055
370 41.6591 -83.5273
371 39.1149 -84.4376
372 40.0072 -83.0096
373 39.1149 -84.4376
374 39.083 -84.5098
375 39.1149 -84.4376
376 39.3277 -82.1023
377 39.1149 -84.4376
378 39.1149 -84.4376
379 38.2531 -85.6572
380 39.8072 -83.8875
381 39.1149 -84.4376
382 39.0875 -84.5084
383 38.2531 -85.6572
384 40.0072 -83.0096
385 39.1149 -84.4376
386 39.2278 -84.3247
387 39.1149 -84.4376
388 39.1398 -84.5131
389 39.3 -81.9072
390 39.3 -81.9072
391 39.1149 -84.4376
392 35.1077 -89.9479
393 35.138 -90.0158
394 39.1149 -84.4376
395 39.7789 -84.055
396 39.1149 -84.4376
397 40.0072 -83.0096
398 39.1149 -84.4376
399 39.1398 -84.5131
400 39.1149 -84.4376
401 40.4538 -80.0014
402 40.573 -76.1797
403 41.0638 -80.0557
404 39.1149 -84.4376
405 39.1011 -84.513
406 37.6359 -85.4027
407 39.1149 -84.4376
408 39.7589 -84.1917
409 39.1677 -86.5341
410 39.1149 -84.4376
411 39.1398 -84.5131
412 39.9848 -83.0376
413 39.9848 -83.0376
414 39.1149 -84.4376
415 39.3276 -82.1023
416 39.9366 -82.4037
417 39.9366 -82.4037
418 39.1149 -84.4376
419 39.9848 -83.0376
420 39.1398 -84.5131
421 39.0936 -84.4966
422 39.4872 -79.5326
423 39.4872 -79.5326
424 39.4872 -79.5326
425 39.4872 -79.5326
426 39.4872 -79.5326
427 39.4872 -79.5326
