 Somme des distances parcourues par les 54715 artistes pris en compte : 3914895177.67,,,,
 , nom de l'artiste , km parcourus , ,
,nom,km,,
 , Robert Glasper ,1102296.65727, ,
 , A Day To Remember ,1101289.97721, ,
 , Dirtyphonics ,1096135.80833, ,
 , Kings of Leon ,1095178.42768, ,
 , Boyz II Men ,1093682.60739, ,
 , Carlo Lio ,1087827.91636, ,
 , The Upbeats ,1082737.06081, ,
 , Sold Out ,1080443.00746, ,
 , Justin Martin ,1080426.51155, ,
 , You ,1080246.64528, ,
 , Joe Bonamassa ,1079722.87236, ,
 , Suicide Silence ,1076477.56209, ,
 , Crystal Castles ,1075039.20731, ,
 , SICK INDIVIDUALS ,1072380.96335, ,
 , KO:YU ,1071404.47076, ,
 , Anja Schneider ,1070954.56038, ,
 , White ,1069351.34552, ,
 , Host ,1068668.07451, ,
 , Jerome Isma-Ae ,1064039.55382, ,
 , AC Slater ,1061357.10859, ,
 , Closed ,1060421.66071, ,
 , Deadmau5 ,1058398.76102, ,
 , Richie Hawtin ,1057287.68377, ,
 , Dannic ,1056875.89838, ,
 , August Burns Red ,1054091.46239, ,
 , Talib Kweli ,1052193.48442, ,
 , ATB ,1046030.13512, ,
 , Menno de Jong ,1043177.36161, ,
 , Matador ,1037794.10611, ,
 , Chus+Ceballos ,1035202.15039, ,
 , Satoshi Tomiie ,1034044.93556, ,
 , Yves V ,1033045.53367, ,
 , DJ Diamond Fan Page ,1032826.20993, ,
 , Heidi ,1031812.41945, ,
 , Ruthie Foster ,1031748.38403, ,
 , Joe Maz ,1029562.03472, ,
 , Stick to Your Guns ,1028992.98534, ,
 , Tiefschwarz ,1028932.69452, ,
 , Andy C ,1025486.03161, ,
 , Matthew Dear ,1024947.04547, ,
 , Less Than Jake ,1023715.50035, ,
 , Carmen ,1022933.29868, ,
 , The Juan MacLean ,1022526.0757, ,
 , BLOND:ISH ,1019864.99672, ,
 , DJ Snake ,1017848.26439, ,
 , Marcel Dettmann ,1017597.23052, ,
 , Bonobo ,1017223.34718, ,
 , The Devil Wears Prada ,1015232.08029, ,
 , Mark De Clive-Lowe ,1013041.81523, ,
 , Robbie Rivera ,1012682.54248, ,
 , Mo ,1010586.7405, ,
 , Datsik ,1007779.72665, ,
 , Major Lazer ,1007484.92537, ,
 , Every Time I Die ,1006680.39401, ,
 , Beautiful ,1002676.5654, ,
 , Foals ,1001531.10507, ,
 , Joris Voorn ,1001141.32404, ,
 , Martin Garrix ,1000892.24135, ,
 , Damian Lazarus ,996644.376958, ,
 , Treasure Fingers ,996489.069612, ,
 , Tommy Trash ,995174.933745, ,
 , Lamb of God ,994132.531152, ,
 , Foreigner ,992604.920946, ,
 , Felix Cartal ,992060.951696, ,
 , Krafty Kuts ,991476.454941, ,
 , The Bloody Beetroots ,991300.082089, ,
 , Piano ,990914.311444, ,
 , Trivium ,990593.703782, ,
 , Kill The Noise ,989651.099249, ,
 , Giuseppe Verdi ,988936.395442, ,
 , Cassy ,987593.840492, ,
 , Fur Coat ,987165.528301, ,
 , Grandtheft ,986763.024094, ,
 , Paco Osuna ,986458.483474, ,
 , Funk ,984932.996332, ,
 , Ben Nicky ,982808.800811, ,
 , Red ,982214.082479, ,
 , Tyga ,980729.193379, ,
 , We Are GTA ,980234.10666, ,
 , Joe Nichols ,979737.804033, ,
 , Tritonal ,978841.053014, ,
 , Carl Cox ,976271.564944, ,
 , Dj ,976011.93157, ,
 , Cash Cash ,973741.083528, ,
 , Rhythm ,971053.297899, ,
 , Silverstein ,970829.093846, ,
 , Jaytech ,968642.164635, ,
 , Mat Zo ,968163.555576, ,
 , Claptone ,966919.388867, ,
 , Xavier Rudd ,966367.700961, ,
 , Party ,965581.896661, ,
 , Scuba ,964524.126166, ,
 , Soul ,964361.387735, ,
 , Yousef ,963148.841241, ,
 , Hook n Sling ,963148.740787, ,
 , Moguai ,959796.340191, ,
 , Tujamo  ,956691.211251, ,
 , Joseph Capriati ,954890.235773, ,
 , Danny Avila ,951844.608835, ,
 , America ,948961.56364, ,
 , Will ,947872.369261, ,
 , Lee Foss ,947197.316333, ,
 , The Toasters ,947059.841122, ,
 , Gogol Bordello ,946284.840044, ,
 , The Temptations ,946035.930341, ,
 , Brad Mehldau ,944636.925644, ,
 , KITSUNE ,943762.609441, ,
 , Encore ,943349.874179, ,
 , ALADDIN ,942869.499637, ,
 , Against Me! ,942675.657222, ,
 , Lady Gaga ,941289.701258, ,
 , DJ Konflikt ,940914.899465, ,
 , Marlo ,940197.715562, ,
 , Bill Frisell ,938437.253764, ,
 , John '00' Fleming ,937832.557233, ,
 , Pete Tong ,934588.742678, ,
 , Pink Martini ,934292.130604, ,
 , Swanky Tunes ,932363.062592, ,
 , DJ Tash ,930436.376599, ,
 , Stars ,930370.302461, ,
 , Movement Recordings ,929619.148368, ,
 , Emmure ,925623.713827, ,
 , Sander Kleinenberg ,924865.238615, ,
 , De La Soul ,923990.677804, ,
 , The Wombats ,923154.919974, ,
 , Passenger ,922705.543679, ,
 , Arno Cost ,921865.528682, ,
 , Enter Shikari ,921793.877498, ,
 , Flosstradamus ,921469.141908, ,
 , Seth Troxler ,920816.689736, ,
 , Unearth ,920282.378324, ,
 , Comeback Kid ,918829.294484, ,
 , Upstairs ,915674.664358, ,
 , Buddy Guy ,915130.976761, ,
 , Oliver Heldens ,914748.600818, ,
 , Boris ,914647.18844, ,
 , Emma Hewitt ,914188.752817, ,
 , Newsboys ,912504.370145, ,
 , Mark Farina ,911344.652049, ,
 , The Maine ,911081.652981, ,
 , Blessthefall ,908643.056432, ,
 , Inception ,907866.280485, ,
 , Sébastien Léger ,907648.80243, ,
 , (həd) p.e. ,907365.255589, ,
 , Buckcherry ,906891.268145, ,
 , John Butler Trio ,906609.459572, ,
 , Darin Epsilon ,905695.643236, ,
 , DJ M.O.S. ,904961.23584, ,
 , Hot Chip ,904457.220726, ,
 , Hatebreed ,903555.787767, ,
 , Eli Young Band ,902630.816517, ,
 , Black Lips ,902451.487146, ,
 , Architects ,901769.256398, ,
 , Mavis Staples ,901381.340249, ,
 , Simon Patterson ,901237.475065, ,
 , ZZ Top ,899982.911728, ,
 , Sean Tyas ,894906.015929, ,
 , Portugal. The Man ,894097.183601, ,
 , Whitechapel ,892793.133422, ,
 , Martin Buttrich ,892157.90389, ,
 , John Dahlbäck ,892084.477592, ,
 , The Black Dahlia Murder ,890400.69505, ,
 , Danny Daze ,888649.512268, ,
 , Marcia Ball ,887428.015574, ,
 , Chick Corea ,886918.311655, ,
 , DJ Set ,885270.830435, ,
 , Cancer Bats ,885216.528773, ,
 , Daedelus ,885049.945238, ,
 , J.Phlip ,883970.951761, ,
 , Matisyahu ,882585.085918, ,
 , Robert Cray ,882357.857688, ,
 , Brodinski ,881963.247436, ,
 , Knife Party ,881464.900158, ,
 , DevilDriver ,880579.253668, ,
 , Dj Anna ,880567.909154, ,
 , The Blind Boys of Alabama ,880336.360467, ,
 , Chris ,879510.951035, ,
 , Plastician ,878732.473365, ,
 , Bret Michaels ,877703.298896, ,
 , Dusky ,877341.031396, ,
 , BASS ,877262.18199, ,
 , Switchfoot ,876877.734609, ,
 , LMFAO ,876465.878203, ,
 , Donavon Frankenreiter ,875234.056957, ,
