 nom,km,pos
 Tyler Bryant ,208767.733043,5333
 Pleasure ,208665.460242,5334
 Eddie Richards ,208650.784939,5335
 Pure Prairie League ,208628.395736,5336
 Restless Heart ,208602.150719,5337
 Low Steppa ,208550.563223,5338
 Dub Phizix ,208464.132529,5339
 Francine ,208416.058638,5340
 Open Stage ,208389.957385,5341
 the Bear ,208386.765426,5342
 Tonya Kay ,208360.655639,5343
 Born From Pain ,208355.738662,5344
 Frank Iero ,208354.475151,5345
 Danny Barnes ,208271.051834,5346
 Fiction ,208257.815196,5347
 Pink Floyd Laser Spectacular ,208234.376689,5348
 Spiritual Rez ,208224.544236,5349
 Roam ,208223.224452,5350
 Forever Young ,208183.568056,5351
 Bruce Robison ,208179.456498,5352
 Hymns ,208084.406544,5353
 OrgyMusic ,208082.3786,5354
 John Tejada ,207976.478741,5355
 Chicago Afrobeat Project ,207877.953734,5356
 Pharoah Sanders ,207838.630971,5357
 Iggy Pop ,207837.341496,5358
 DJ Red ,207822.423429,5359
 Rob Garza ,207781.312441,5360
 Parking ,207760.430655,5361
 Public Service Broadcasting ,207750.526818,5362
 Nails ,207711.928423,5363
 Colors ,207681.39143,5364
 Gene Loves Jezebel ,207672.776267,5365
 Oshana ,207631.900556,5366
 Benji B ,207627.866141,5367
 Bounce ,207619.302822,5368
 Fatman Scoop ,207615.412565,5369
 Charles Aznavour ,207570.516394,5370
 The Outsiders ,207545.281219,5371
 yotto ,207534.539309,5372
 Donovan ,207502.021715,5373
 Panama ,207412.033297,5374
 Sheppard ,207326.729504,5375
 Jesse Boykins III ,207271.76919,5376
 Salif Keita ,207246.806726,5377
 Alvvays ,207187.698315,5378
 Faun ,207165.949539,5379
 TreeHouse! ,207121.114419,5380
 Chris Montana! ,207055.465596,5381
 J Balvin ,207002.81183,5382
 Kim Simmonds ,206921.425576,5383
 Dense  ,206909.126431,5384
 Blueprint ,206818.551543,5385
 David Berkeley ,206807.460732,5386
 The Go Set ,206807.200265,5387
 Tanya Tucker ,206765.921882,5388
 Joywave ,206733.802993,5389
 Razor ,206726.995905,5390
 Big Daddy Love ,206652.574944,5391
 David Penn ,206618.20276,5392
 Duke Robillard ,206610.433155,5393
 Patlac ,206536.85724,5394
 Royal Canoe ,206510.347094,5395
 Merchandise ,206508.125214,5396
 The Cactus Blossoms ,206489.597649,5397
 Tigran Hamasyan ,206408.847109,5398
 Tombs ,206401.677545,5399
 Bonnie Tyler ,206375.03016,5400
 Here ,206307.743713,5401
 Robbie Williams ,206305.733464,5402
 Heymoonshaker ,206255.721452,5403
 Fraser ,206204.821079,5404
 Girlpool ,206179.706994,5405
 Dance Yourself Clean ,206156.814475,5406
 The Swon Brothers ,206138.732164,5407
 Sinners ,206132.597145,5408
 Deströyer 666 ,206038.301675,5409
 Aurora Halal ,206036.506077,5410
 Caveman ,206036.294238,5411
 Jill Sobule ,205929.196571,5412
 The Clams ,205889.267657,5413
 DJ Lord ,205883.583319,5414
 Finding Favour ,205877.840603,5415
 Amy Grant ,205848.031553,5416
 Pavlo ,205826.88839,5417
 Colin Stetson ,205731.423113,5418
 Drivin' N' Cryin' ,205727.579195,5419
 Crystal Gayle ,205721.896419,5420
 Blues Festival ,205644.53522,5421
 Sammy Hagar ,205641.254032,5422
 Rose Royce ,205640.741765,5423
 The Basics ,205632.557281,5424
 The Used ,205631.53778,5425
 Pezzner ,205582.019008,5426
 DOPE D.O.D. ,205577.501437,5427
 Shogún ,205568.33391,5428
 Trina ,205542.46466,5429
 Crosby ,205529.197768,5430
 Sebastian Mullaert ,205468.209556,5431
 Georgia Germein ,205439.056987,5432
 Day 1 ,205373.662356,5433
 Aries Spears ,205306.062319,5434
 Refuge ,205256.459419,5435
 Hatcha ,205219.224442,5436
 Will Johnson ,205173.26046,5437
 CID ,205115.479,5438
 Eddi Reader ,205114.888369,5439
 Canvas ,205099.268124,5440
 Cheat Codes ,205081.713189,5441
 Megan Slankard ,205079.465804,5442
 Sleeper ,205004.272508,5443
 The Musical Box ,204953.85145,5444
 Boston ,204920.896056,5445
 Butane ,204871.636293,5446
 JC ,204725.291057,5447
 PJ MORTON ,204721.312493,5448
 Joan of Arc ,204666.952378,5449
 Dubmatix ,204590.973865,5450
 Syl Johnson ,204574.74453,5451
 Adam X ,204541.382501,5452
 Kari Jobe ,204528.077645,5453
 Justin Roberts ,204426.443459,5454
 Hellbound Glory ,204326.117542,5455
 Hector Romero ,204322.407303,5456
 Blackhawk ,204280.267361,5457
 A.Z.  ,204280.044014,5458
 Reik ,204259.015596,5459
 Royal Wood ,204191.748242,5460
 Pete Yorn ,204132.298528,5461
 Timeflies ,204122.877227,5462
 Satori ,204053.640375,5463
 Here Comes The Kraken ,204033.34108,5464
 Brothers In Arms ,203997.393039,5465
 After Dark ,203989.399187,5466
 Absu ,203912.514907,5467
 Shane & Shane ,203905.927191,5468
 Bear's Den ,203896.442028,5469
 Austin Miller ,203889.61931,5470
 Holly Golightly ,203888.382423,5471
 Matmos ,203858.533356,5472
 Camo & Krooked ,203858.195152,5473
 JO ,203850.591887,5474
 VOID ,203846.126515,5475
 Jason Isbell and the 400 Unit ,203713.886818,5476
 Garmiani ,203700.857049,5477
 Blues Night ,203684.063396,5478
 Joeski ,203668.966229,5479
 Ian Harvie ,203660.540241,5480
 Dave Tipper ,203623.55983,5481
 Freddie Jackson ,203623.40924,5482
 Shay (US) ,203570.392166,5483
 Germein Sisters ,203491.52426,5484
 Quiet Riot ,203458.562831,5485
 Canaan Smith ,203444.850052,5486
 Northern Lights ,203431.22851,5487
 William Tyler ,203410.597527,5488
 Suzi Quatro ,203386.958607,5489
 Them ,203352.269987,5490
 A Chorus Line ,203335.674525,5491
 Vdelli ,203322.030642,5492
 Tryambaka - The Official Page ,203319.651617,5493
 Bryan White ,203309.151859,5494
 Grand Baton ,203301.076219,5495
 The Jarekus Singleton Band ,203277.659669,5496
 Romare ,203247.844157,5497
 Billy Hart ,203212.62422,5498
 Haze ,203162.02956,5499
 Cassadee Pope ,203127.357868,5500
 Natalie Prass ,203068.750313,5501
 Johnny Cooper ,203044.427164,5502
 Silk ,203032.978462,5503
 Ten Years After ,202955.840064,5504
 Jim White ,202925.660751,5505
 Highly Suspect ,202877.332308,5506
 The Pretenders ,202847.438779,5507
 Sarah Borges ,202819.882635,5508
 The True Mayhem ,202811.041096,5509
 Rob Schneider ,202686.83428,5510
 Prozak ,202539.611446,5511
 Voiski ,202526.427575,5512
 Dean Brown ,202520.259811,5513
 The Lowest Pair ,202514.009791,5514
 Mountain ,202475.612985,5515
 The Protomen ,202471.499647,5516
 Blame Sally ,202459.831197,5517
 Makoto ,202447.457453,5518
 John Craigie ,202338.076501,5519
 Metalachi ,202186.689149,5520
 Vatican Shadow ,202146.299678,5521
 The Nth Power ,202096.637948,5522
 Jungle Rot ,202062.241801,5523
 Auntie Flo ,202010.765218,5524
 Poolside ,201992.973155,5525
 Wreckless Eric ,201985.630993,5526
 Shawn James ,201900.424213,5527
 Tarja ,201868.794302,5528
 Taj Mahal Trio ,201854.782242,5529
 Hyde ,201835.10835,5530
 Matty B ,201805.517621,5531
 Billy Ray Cyrus ,201787.506838,5532
 Jim Breuer ,201764.216256,5533
 Blaze- Ya Dead Homie ,201708.375208,5534
 Dash Rip Rock ,201584.576567,5535
 Animal Trainer ,201580.026487,5536
 HELL ,201397.115364,5537
 Jeff Foxworthy ,201365.53149,5538
 The Letter Black ,201362.580756,5539
 Dax J ,201337.616828,5540
 Head For The Hills ,201334.286845,5541
 Ernesto Ferreyra ,201325.753216,5542
 Sly ,201279.18851,5543
 Foxhound ,201256.705245,5544
 Luz ,201242.834954,5545
 Charlton ,201151.455141,5546
 Purple ,201039.024609,5547
 Ryan ,201001.729264,5548
 Larry Graham ,200984.425399,5549
 Norman ,200957.711662,5550
 Grace Jones ,200955.57167,5551
 Dreems ,200945.216012,5552
 John Patitucci ,200918.941257,5553
 Gaither Vocal Band ,200888.947359,5554
 Press Play ,200878.092115,5555
 In The Whale ,200825.203167,5556
 Carl Palmer ,200791.322275,5557
 City ,200778.579552,5558
 N-Type ,200759.98419,5559
 Stamina ,200713.456039,5560
 Spice ,200699.8593,5561
 Crystal Bowersox ,200690.411662,5562
 Abbamania ,200668.126939,5563
 Dj Du ,200630.452899,5564
 Joe Purdy ,200610.486098,5565
 David Gtronic ,200566.808609,5566
 Lucas Hoge ,200552.770485,5567
 Clinton Sparks ,200517.747106,5568
 the Bottlemen ,200512.145384,5569
 Jamie Kennedy ,200390.667283,5570
 Poison ,200390.114708,5571
 Pandas ,200378.281986,5572
 Martin Taylor ,200356.682248,5573
 Mother ,200353.665082,5574
 MNDSGn ,200276.944332,5575
 Giorgio Moroder ,200260.34339,5576
 Agent ,200178.067408,5577
 Michael Ray ,200178.066974,5578
 Psychic TV ,200149.30381,5579
 Gallant ,200140.128999,5580
 Town Mountain ,200116.687943,5581
 Juan ,200079.210925,5582
 Name ,199967.524591,5583
 INK ,199914.634314,5584
 Allison Miller ,199882.249546,5585
 Star Wars ,199862.961049,5586
 Led Zeppelin II ,199833.968846,5587
 Mike Williams ,199816.540682,5588
 ????????? ,199799.227758,5589
 The Girls ,199759.964954,5590
 Saint Vitus ,199746.834791,5591
 Leprous ,199741.843128,5592
 ZHU ,199675.194234,5593
 Donny Osmond ,199660.113208,5594
 JJ Flores ,199591.912667,5595
 Pablo Sanchez ,199581.673538,5596
 Griever ,199541.522187,5597
 Jeremy Jay ,199538.84638,5598
 PIG ,199478.780877,5599
 The Ghost ,199468.616602,5600
 Summer Camp ,199454.940033,5601
 Barb Wire Dolls ,199329.452642,5602
 Natalia Lafourcade ,199252.87167,5603
 Danava ,199248.196005,5604
 Gino Vannelli ,199212.194197,5605
 Coffey Anderson ,199195.883441,5606
 Christafari ,199176.309803,5607
 DJ Hoppa ,199159.604708,5608
 HVOB ,199139.519659,5609
 Kitchen ,199123.273208,5610
 Joel Havea ,198997.338181,5611
 Michael Nau ,198984.505181,5612
 Law ,198977.847327,5613
 Dusty ,198963.925594,5614
 Tiny ,198893.762654,5615
 Starset ,198815.175806,5616
 Sponge ,198763.06235,5617
 Johnny Clegg ,198735.915144,5618
 Dave Tamkin ,198735.347354,5619
 Gunnar Haslam ,198659.393391,5620
 Albert Cummings ,198626.552049,5621
 Open House ,198569.166759,5622
 KING 810 ,198537.728965,5623
 Gucci Mane ,198505.688421,5624
 Martha Reeves ,198478.087071,5625
 Chico ,198477.142315,5626
 Baesics ,198460.524881,5627
 AG ,198400.849527,5628
 Into the Woods ,198399.292989,5629
 Kahn ,198358.705849,5630
 Black Market III ,198302.348485,5631
 Nellie McKay ,198260.708088,5632
 Big Al ,198258.414167,5633
 Kepi Ghoulie ,198258.316784,5634
 Joe Robinson ,198204.838412,5635
 American Babies ,198203.271635,5636
 The Dig ,198121.517767,5637
 The Return ,198097.943613,5638
 Atlanta Rhythm Section ,198043.360364,5639
 Futuristic ,198016.390622,5640
 Brawther ,198015.762729,5641
 Start ,198011.798614,5642
 Mr. G ,197844.678304,5643
 Sarah Peacock ,197825.534038,5644
 Lights Out ,197767.849551,5645
 Igor ,197742.780761,5646
 MDC ,197728.856898,5647
 Par Grindvik ,197726.657206,5648
 Battery ,197708.331314,5649
 Amelia White ,197567.121668,5650
 Lady ,197516.863666,5651
 BAD ,197514.532462,5652
 M.O.P. ,197495.289993,5653
 Crossroads ,197488.546417,5654
 Factory Floor ,197463.467888,5655
 Sabo ,197421.964978,5656
 Phil Thompson ,197409.53091,5657
 Karen ,197387.436102,5658
 Duke Special ,197361.919782,5659
 Jonah Matranga ,197283.659079,5660
 Fort Romeau ,197207.208031,5661
 Louis Futon ,197206.221261,5662
 Tig Notaro ,197198.283109,5663
 Affkt ,197169.447369,5664
 CloZee ,196923.165185,5665
 Jesus Christ Superstar ,196884.535895,5666
 Tapesh ,196860.983918,5667
 Adam Cappa ,196810.175796,5668
 La Arrolladora Banda El Limon ,196804.264769,5669
 Rachel Platten ,196747.358797,5670
 Colours ,196673.837129,5671
 Dead Kennedys ,196660.486051,5672
 Emanuel Ax ,196608.821065,5673
 Siren ,196591.93633,5674
 Mercury Rev ,196530.363527,5675
 Béla Fleck and The Flecktones ,196351.486641,5676
 Fruit Bats ,196311.40122,5677
 Terry Hunter ,196266.204368,5678
 The David Mayfield Parade ,196265.051405,5679
 Birdy Nam Nam ,196245.223612,5680
 Negative Approach ,196206.197881,5681
 NewSong ,196183.721578,5682
 Hayseed Dixie ,196141.137715,5683
 Un ,196131.495026,5684
 Sólstafir ,196121.313093,5685
 Spencer Parker ,196028.868656,5686
 John Dimas ,195911.987275,5687
 Mefjus ,195835.370468,5688
 Chon ,195835.349646,5689
 Lo ,195827.812463,5690
 House of Pain ,195631.279423,5691
 car seat headrest ,195615.994841,5692
 La Santa Cecilia ,195579.652003,5693
 Josh Johnstone ,195565.317879,5694
 Israel ,195516.635048,5695
 ES ,195444.624903,5696
 Jacques Schwarz-Bart ,195428.74644,5697
 Mateo Hernández ,195424.365913,5698
 The Ghost Wolves ,195381.626344,5699
 American Hitmen ,195362.468275,5700
 Miami Heat  ,195324.43809,5701
 Calle 13 ,195264.191967,5702
 Callaghan ,195239.073861,5703
 Blu ,195170.662871,5704
 Moose Blood ,195166.879131,5705
 Boogie Nights ,195165.22666,5706
 The Magic of Motown ,195156.083775,5707
 Genitorturers ,195133.59204,5708
 James Ruskin ,195039.554027,5709
 DJ Earl ,195032.987385,5710
 Zoë Keating ,195020.8257,5711
 Marc Ford ,194963.52793,5712
 Brooks ,194962.176402,5713
 Saratoga ,194905.58107,5714
 Clare Dunn (Official Music) ,194853.853651,5715
 Dodge & Fuski ,194815.625408,5716
 The Imposters ,194803.327967,5717
 Sinjin Hawke ,194765.237125,5718
 Planetshakers ,194718.421191,5719
 Ernie Haase and Signature Sound ,194646.205322,5720
 Spanish Harlem Orchestra ,194627.426572,5721
 Strategy ,194591.753704,5722
 Rosario ,194591.549017,5723
 Duo ,194511.304278,5724
 Lakeside ,194432.820031,5725
 Brain Damage ,194347.637959,5726
 Lee Ranaldo ,194276.73646,5727
 Mozart Requiem ,194220.924076,5728
 Front Country ,194133.91028,5729
 Alfredo Rodríguez ,194118.630421,5730
 The Stray Birds ,194102.623095,5731
 The Beat ,194091.306885,5732
 Justin Trawick ,193929.707315,5733
 Islander ,193781.888154,5734
 Bootsy Collins ,193764.732173,5735
 Catalyst ,193762.079025,5736
 Najee ,193737.96437,5737
 Carlene Carter ,193735.548153,5738
 Tash Sultana ,193681.822344,5739
 Freedom Fighters ,193609.055365,5740
 Joaquín Sabina ,193595.527813,5741
 Cookie ,193591.160618,5742
 In The Valley Below ,193567.636799,5743
 Nick Hook ,193566.549089,5744
 Lee Jones ,193545.529515,5745
 Protoje ,193515.324424,5746
 DJ Nabs ,193510.363219,5747
 Cutting Crew Music ,193485.231621,5748
 April Wine ,193442.999431,5749
 Bhi Bhiman ,193372.89634,5750
 Thomas Nicholas Band ,193306.424837,5751
 Sister Act ,193287.778008,5752
 Wayne Brady ,193156.818754,5753
 Kathleen Edwards ,193127.441346,5754
 Dorian Concept ,193088.763041,5755
 Roy Haynes ,193001.251642,5756
 Fred V ,193000.85551,5757
 Mike Birbiglia ,192945.64626,5758
 The Barefoot Movement ,192924.078502,5759
 Mark Eitzel ,192917.799057,5760
 RAC ,192907.971157,5761
 Lorenzo ,192838.485754,5762
 Risk! ,192828.408347,5763
 Between the Trees ,192800.900334,5764
 La Yegros ,192748.740428,5765
 Nikita ,192726.707155,5766
 IMANY ,192718.262358,5767
 Rampa ,192689.069983,5768
 Apex ,192667.900485,5769
 Diarrhea Planet ,192648.17243,5770
 The Rising ,192433.064984,5771
 Stewart Mann And The Statesboro Revue ,192373.502435,5772
 DJ Antoine ,192368.609899,5773
 Cosmos ,192319.86136,5774
 Lightnin' Malcolm ,192306.552193,5775
 Adriana López ,192277.815168,5776
 Music and Art ,192236.220468,5777
 The King's Singers ,192191.08106,5778
 Robin Trower ,192181.342522,5779
 Illenium ,192167.214953,5780
 MUM ,192131.480983,5781
 Kele Okereke ,192118.465821,5782
 The Japanese House ,192117.872542,5783
 Goat ,192088.035961,5784
 Emanuel Satie ,192012.363597,5785
 JEKYLL ,191913.735931,5786
 Sharon Shannon ,191841.293249,5787
 Percussion ,191738.347969,5788
 Alle Farben ,191637.709302,5789
 Liz Longley ,191552.14852,5790
 Oscar D'León ,191535.667669,5791
 Matthew Logan Vasquez ,191483.038427,5792
 Yob ,191424.669521,5793
 Marion Meadows ,191417.266971,5794
 Burning The Masses [NEW SONGS] ,191414.513029,5795
 Ramon  Tapia ,191367.299329,5796
 Sepp ,191354.350337,5797
 Shook Twins ,191301.854129,5798
 deborah de luca ,191295.355196,5799
 Paz ,191272.112405,5800
 Che Sudaka ,191213.546921,5801
 DJ Sol ,191201.682928,5802
 Hocico ,191185.835362,5803
 Kid ,191176.262946,5804
 Jamestown Revival ,191173.266816,5805
 dean ,191163.345484,5806
 Pyramid ,191147.340528,5807
 Paul Young ,191109.055099,5808
 Massimiliano Pagliara ,191073.826344,5809
 Girls Guns and Glory ,191049.009808,5810
 Rod Picott ,191047.562074,5811
 Adrian+Meredith ,191002.201363,5812
 Mary Wilson ,190997.482937,5813
 Gino Sitson ,190934.357658,5814
 Jessica Hernandez & The Deltas ,190913.171184,5815
 Hounds ,190897.561236,5816
 Daniel Romano ,190874.610585,5817
 Paul Booth ,190872.041238,5818
 Bill Charlap ,190842.98609,5819
 Reno Divorce ,190840.811928,5820
 Shadow Child ,190822.205014,5821
 Lydia Loveless ,190783.866364,5822
 Sworn In ,190762.31124,5823
 Wild Belle ,190704.177285,5824
 Graham Bonnet ,190686.078474,5825
 Mnozil Brass ,190664.736449,5826
 Pears ,190640.141976,5827
 Pierce Brothers ,190621.107398,5828
 Judge ,190606.312455,5829
 Bottin ,190543.317027,5830
 Willet ,190487.230729,5831
 Fan Halen ,190415.890126,5832
 Hollis Brown ,190400.100338,5833
 Anthem Lights ,190300.640965,5834
 Calyx & Teebee ,190281.669878,5835
 Bobby Rush ,190263.392894,5836
 Exit ,190248.964415,5837
 Superpitcher ,190214.103653,5838
 GoGo Penguin ,190210.875118,5839
 Cult of Luna ,190174.554322,5840
 Victoria Vox ,190172.719817,5841
 Quiet Company ,190136.587003,5842
 Ha*Ash ,190095.077868,5843
 DUSTIN THOMAS ,190058.031531,5844
 Tha Dogg Pound ,190044.553765,5845
 The Fab Faux ,189985.244464,5846
 Danny Gokey ,189959.62116,5847
 Doomtree ,189921.117491,5848
 Dinky ,189897.587852,5849
 Zion ,189895.287983,5850
 His Rhythm ,189864.587592,5851
 Gary Lucas ,189841.10832,5852
 2Empress ,189837.930362,5853
 Boney M. ,189794.955269,5854
 The Sisters of Mercy ,189762.324067,5855
 Elisium ,189731.955148,5856
 SARABETH ,189678.919185,5857
 Fiddler's Green ,189675.664033,5858
 Outshyne ,189659.419135,5859
 Richard Buckner ,189626.596314,5860
 Roosevelt ,189566.299987,5861
 One Drop ,189564.30564,5862
 Housemeister ,189438.196775,5863
 Italobrothers ,189397.105085,5864
 Meredith Andrews ,189391.763355,5865
 Cockney Rejects ,189385.340794,5866
 Gungor ,189381.03635,5867
 Bo Bice ,189356.721998,5868
 KMFDM ,189298.628616,5869
 Edison ,189291.237894,5870
 The Law ,189265.297716,5871
 Soley ,189238.381156,5872
 Daniel Tosh ,189195.078439,5873
 The Cranberries ,189180.513185,5874
 Lust ,189179.012142,5875
 She Wants Revenge ,189131.059777,5876
 Souvenirs ,189052.891358,5877
 Toronzo Cannon Chicago Blues-man ,189044.111306,5878
 Kairy Marquez ,189028.281171,5879
 Blackfoot ,188977.238487,5880
 Jean Grae ,188960.039031,5881
 The Gooch Palms ,188930.854105,5882
 Hoods ,188926.667921,5883
 Girl Band ,188926.111623,5884
 Donny ,188922.394775,5885
 Master ,188921.311173,5886
 DRAM ,188813.049198,5887
 Matt the Electrician ,188795.322742,5888
 Vonda Shepard ,188777.773348,5889
 Cyantific ,188697.695305,5890
 Almost Kings ,188665.685393,5891
 Metro Boomin ,188529.84445,5892
 Gillian Welch ,188475.214883,5893
 Rainman ,188445.443576,5894
 Jigsaw ,188406.86634,5895
 Hoj ,188406.685221,5896
 RÜFÜS DU SOL ,188403.156625,5897
 Frank Turner & The Sleeping Souls ,188397.785636,5898
 Andy Mineo ,188392.636614,5899
 Habib Koité ,188351.901996,5900
 Turandot ,188345.941625,5901
 Lera Lynn ,188338.791169,5902
 I AM ,188328.364956,5903
 To Speak of Wolves ,188262.075168,5904
 Mamma Mia ,188221.496434,5905
 Gold City ,188163.579961,5906
 Nir Felder ,188091.887152,5907
 Halloween ,187983.815788,5908
 Paul Lewis ,187915.642439,5909
 The Fixx ,187866.614149,5910
 Distant Worlds ,187861.291265,5911
 Jon Charnis ,187830.423656,5912
 The Foreign Exchange ,187795.95282,5913
 Sam Divine ,187761.809281,5914
 Rank 1 ,187742.749119,5915
 Nels Cline ,187713.426176,5916
 Hound ,187712.789614,5917
 Cory Henry ,187668.691132,5918
 Lydia Lunch ,187648.88877,5919
 Jesse Dayton ,187636.265503,5920
 Night Riots ,187615.261113,5921
 Erik Deutsch Music ,187598.565978,5922
 Chris Hawks ,187577.299391,5923
 Scars ,187532.723268,5924
 CeU ,187438.112499,5925
 Frank Caliendo ,187392.731209,5926
 RDGLDGRN ,187283.634444,5927
 Mr. Big ,187281.167528,5928
 Shannon McNally ,187275.097148,5929
 Funky Meters ,187261.726001,5930
 Psychic Ills ,187180.177966,5931
 Trent Tomlinson ,187176.906658,5932
 George Strait ,187154.791204,5933
 Soulection ,187077.295534,5934
 Pony Pony Run Run ,187043.737917,5935
 Gem ,186951.063925,5936
 Dr. Feelgood ,186892.17599,5937
 The Virginmarys ,186836.481562,5938
 SAVED BY THE 90'S ,186738.711932,5939
 Rey & Kjavik ,186736.630938,5940
 Freddy Cole ,186687.83963,5941
 Quinn ,186670.615736,5942
 Lock ,186584.251594,5943
 Isaac ,186573.880364,5944
 Madama Butterfly ,186549.639639,5945
 Snap ,186542.521623,5946
 In ,186453.512894,5947
 Elijah Ford ,186441.053763,5948
 Bajofondo ,186300.004838,5949
 Marques Wyatt ,186273.748141,5950
 Adam Hood ,186265.673844,5951
 Kong ,186220.460833,5952
 Crush ,186137.695363,5953
 Last Call ,186084.530142,5954
 Danny Howard ,186081.113961,5955
 Jeff Jones ,185948.748746,5956
 Jay & The Americans ,185912.210539,5957
 Raury ,185787.334331,5958
 Stones ,185648.262485,5959
 Tyler Bryant & the Shakedown ,185620.008474,5960
 Miguel Bastida ,185583.686875,5961
 Tool ,185502.114333,5962
 Brian Wright ,185500.888671,5963
 Phish ,185434.693305,5964
 Marillion ,185376.65236,5965
 Mirah ,185324.346432,5966
 Benjamin Britten ,185249.264831,5967
 Marcy Playground ,185230.901681,5968
 Moriah Peters ,185150.459773,5969
 iO ,185141.470375,5970
 Sparks ,185127.559277,5971
 Freekbass ,184959.78773,5972
 Motorama ,184924.579787,5973
 Jon Wolfe ,184878.678957,5974
 Don Felder ,184867.323886,5975
 Brennen Leigh ,184857.514142,5976
 Rockwell ,184855.716267,5977
 Mary Black ,184795.114341,5978
 The Life and Times ,184781.752806,5979
 Steve Earle & The Dukes ,184771.698764,5980
 The Guilty Ones ,184758.886956,5981
 Scarface ,184754.696406,5982
 Windhand ,184742.003953,5983
 Divas ,184706.916667,5984
 Stefan Goldmann ,184597.765193,5985
 Driftwood ,184584.349011,5986
 IT LIES WITHIN ,184568.960959,5987
 Rick Wade ,184446.371083,5988
 Kyle Eastwood ,184365.766966,5989
 Toddla T ,184326.659593,5990
 Barely Alive ,184309.59074,5991
 Tony Levin ,184277.195615,5992
 Lucy Rose ,184253.59396,5993
 Henry ,184241.245865,5994
 NF ,184172.63645,5995
 Ed Rush and Optical ,184168.945656,5996
 Malcolm Holcombe ,184154.808494,5997
 Shrek ,184142.052891,5998
 Samuel Lee ,184088.475429,5999
 Mine ,184083.141086,6000
 Fashawn ,183947.903768,6001
 Elephant Stone ,183924.384093,6002
 Solid Gold ,183913.738882,6003
 Francesco Del Garda ,183898.085067,6004
 Stitched Up Heart ,183857.523286,6005
 Bubba Sparxxx Music ,183836.328335,6006
 Alpha & Omega ,183822.603672,6007
 Ben l'Oncle Soul ,183810.870018,6008
 Shaka ,183733.728251,6009
 Mumdance ,183728.517393,6010
 Brujería ,183706.662364,6011
 Loo & Placido ,183662.061379,6012
 Abba the Concert ,183618.371323,6013
 TheRealBigSmo ,183590.906606,6014
 Metal Church ,183506.753958,6015
 Bill Bailey ,183486.076592,6016
 Decibel ,183328.457295,6017
 Louie Louie ,183305.438037,6018
 The Savages ,183269.511684,6019
 The Zeros ,183229.217755,6020
 Lea Salonga ,183220.992481,6021
 DJ SAM PACE ,183204.743638,6022
 Amanda Lepore ,183199.081926,6023
 Hudson ,183169.01068,6024
 Consider the Source ,183159.857845,6025
 Anderson ,183156.175698,6026
 Greg Brockmann ,183138.005171,6027
 Steve Smooth ,183051.150282,6028
 Sirsy ,183043.593164,6029
 Carlos Núñez ,183033.237539,6030
 Praslea ,183009.045604,6031
 Digitour ,183003.607389,6032
 AK1200 ,182987.297562,6033
 the Maension ,182854.902854,6034
 Mary Duff ,182825.845227,6035
 LYENN ,182810.411759,6036
 Julia Fordham ,182775.464802,6037
 Hatiras ,182765.854226,6038
 The Appleseed Cast ,182764.760492,6039
 Plaid ,182728.252677,6040
 PRIMITIVE MAN ,182594.215788,6041
 Throttle ,182552.183974,6042
 Trigger ,182521.17668,6043
 Canada ,182488.032044,6044
 Bob Margolin ,182405.00755,6045
 The Marcus King Band ,182390.250346,6046
 Astronomar ,182387.307079,6047
 Legion ,182336.438114,6048
 Etapp Kyle ,182331.035111,6049
 Sister ,182319.430897,6050
 Cooper Saver ,182311.308416,6051
 Jacco Gardner ,182298.040499,6052
 Kix ,182296.620974,6053
 Shane Smith & The Saints ,182208.648234,6054
 The Imperials ,182136.925388,6055
 MASTERCLASS ,182134.221994,6056
 Keren Ann ,182098.088724,6057
 Huun-Huur-Tu ,181986.412539,6058
 Ho99o9 ,181964.212238,6059
 Brian Charette ,181934.453265,6060
 Tom Walker ,181889.641055,6061
 Lakuti ,181861.470454,6062
 Cabinet ,181852.817221,6063
 Morris Day ,181812.815176,6064
 Colossus ,181803.057187,6065
 Leyla McCalla ,181728.571427,6066
 Tom Peters ,181646.907875,6067
 Cast ,181623.071381,6068
 Finesse ,181605.836234,6069
 Madmotormiquel ,181593.291332,6070
 Cris Cab ,181546.710755,6071
 Tracy Morgan ,181521.806671,6072
 Ane Brun ,181492.475527,6073
 Yung Lean ,181477.56428,6074
 Chaos ,181441.658193,6075
 Levellers ,181429.178213,6076
 Gloria Trevi ,181414.927346,6077
 Bang Bang ,181385.106823,6078
 PHARMAKON ,181354.848267,6079
 Torres ,181241.639212,6080
 Princess ,181220.972854,6081
 Terri Hendrix ,181192.846925,6082
 INVITE ,181186.538198,6083
 Little Mons†ers Fan Club ,181156.688793,6084
 Social Club Misfits ,181119.499532,6085
 Jack Savoretti ,181088.620873,6086
 CK ,181059.702138,6087
 Expose ,181059.555822,6088
 The Notwist ,181058.007032,6089
 Glenn Tilbrook ,181056.094089,6090
 Moses Sumney ,181053.579831,6091
 Hiss Golden Messenger ,181049.517318,6092
 Curtis Peoples ,181022.392968,6093
 Lou Doillon ,181017.227429,6094
 Michael Martin Murphey ,180991.305596,6095
 Take Offense ,180978.063644,6096
 Christopher Paul Stelling ,180977.477526,6097
 the Hillbenders ,180960.133104,6098
 Juvenile ,180949.609605,6099
 Mass Hysteria ,180892.633333,6100
 Berger ,180818.221957,6101
 Billy Walton Band ,180816.517181,6102
 Geoff Tate ,180772.988413,6103
