 nom,km,pos
 Closed ,1060421.66071,176
 Deadmau5 ,1058398.76102,177
 Richie Hawtin ,1057287.68377,178
 Dannic ,1056875.89838,179
 August Burns Red ,1054091.46239,180
 Talib Kweli ,1052193.48442,181
 ATB ,1046030.13512,182
 Menno de Jong ,1043177.36161,183
 Matador ,1037794.10611,184
 Chus+Ceballos ,1035202.15039,185
 Satoshi Tomiie ,1034044.93556,186
 Yves V ,1033045.53367,187
 DJ Diamond Fan Page ,1032826.20993,188
 Heidi ,1031812.41945,189
 Ruthie Foster ,1031748.38403,190
 Joe Maz ,1029562.03472,191
 Stick to Your Guns ,1028992.98534,192
 Tiefschwarz ,1028932.69452,193
 Andy C ,1025486.03161,194
 Matthew Dear ,1024947.04547,195
 Less Than Jake ,1023715.50035,196
 Carmen ,1022933.29868,197
 The Juan MacLean ,1022526.0757,198
 BLOND:ISH ,1019864.99672,199
 DJ Snake ,1017848.26439,200
 Marcel Dettmann ,1017597.23052,201
 Bonobo ,1017223.34718,202
 The Devil Wears Prada ,1015232.08029,203
 Mark De Clive-Lowe ,1013041.81523,204
 Robbie Rivera ,1012682.54248,205
 Mo ,1010586.7405,206
 Datsik ,1007779.72665,207
 Major Lazer ,1007484.92537,208
 Every Time I Die ,1006680.39401,209
 Beautiful ,1002676.5654,210
 Foals ,1001531.10507,211
 Joris Voorn ,1001141.32404,212
 Martin Garrix ,1000892.24135,213
 Damian Lazarus ,996644.376958,214
 Treasure Fingers ,996489.069612,215
 Tommy Trash ,995174.933745,216
 Lamb of God ,994132.531152,217
 Foreigner ,992604.920946,218
 Felix Cartal ,992060.951696,219
 Krafty Kuts ,991476.454941,220
 The Bloody Beetroots ,991300.082089,221
 Piano ,990914.311444,222
 Trivium ,990593.703782,223
 Kill The Noise ,989651.099249,224
 Giuseppe Verdi ,988936.395442,225
 Cassy ,987593.840492,226
 Fur Coat ,987165.528301,227
 Grandtheft ,986763.024094,228
 Paco Osuna ,986458.483474,229
 Funk ,984932.996332,230
 Ben Nicky ,982808.800811,231
 Red ,982214.082479,232
 Tyga ,980729.193379,233
 We Are GTA ,980234.10666,234
 Joe Nichols ,979737.804033,235
 Tritonal ,978841.053014,236
 Carl Cox ,976271.564944,237
 Dj ,976011.93157,238
 Cash Cash ,973741.083528,239
 Rhythm ,971053.297899,240
 Silverstein ,970829.093846,241
 Jaytech ,968642.164635,242
 Mat Zo ,968163.555576,243
 Claptone ,966919.388867,244
 Xavier Rudd ,966367.700961,245
 Party ,965581.896661,246
 Scuba ,964524.126166,247
 Soul ,964361.387735,248
 Yousef ,963148.841241,249
 Hook n Sling ,963148.740787,250
 Moguai ,959796.340191,251
 Tujamo  ,956691.211251,252
 Joseph Capriati ,954890.235773,253
 Danny Avila ,951844.608835,254
 America ,948961.56364,255
 Will ,947872.369261,256
 Lee Foss ,947197.316333,257
 The Toasters ,947059.841122,258
 Gogol Bordello ,946284.840044,259
 The Temptations ,946035.930341,260
 Brad Mehldau ,944636.925644,261
 KITSUNE ,943762.609441,262
 Encore ,943349.874179,263
 ALADDIN ,942869.499637,264
 Against Me! ,942675.657222,265
 Lady Gaga ,941289.701258,266
 DJ Konflikt ,940914.899465,267
 Marlo ,940197.715562,268
 Bill Frisell ,938437.253764,269
 John '00' Fleming ,937832.557233,270
 Pete Tong ,934588.742678,271
 Pink Martini ,934292.130604,272
 Swanky Tunes ,932363.062592,273
 DJ Tash ,930436.376599,274
 Stars ,930370.302461,275
 Movement Recordings ,929619.148368,276
 Emmure ,925623.713827,277
 Sander Kleinenberg ,924865.238615,278
 De La Soul ,923990.677804,279
 The Wombats ,923154.919974,280
 Passenger ,922705.543679,281
 Arno Cost ,921865.528682,282
 Enter Shikari ,921793.877498,283
 Flosstradamus ,921469.141908,284
 Seth Troxler ,920816.689736,285
 Unearth ,920282.378324,286
 Comeback Kid ,918829.294484,287
 Upstairs ,915674.664358,288
 Buddy Guy ,915130.976761,289
 Oliver Heldens ,914748.600818,290
 Boris ,914647.18844,291
 Emma Hewitt ,914188.752817,292
 Newsboys ,912504.370145,293
 Mark Farina ,911344.652049,294
 The Maine ,911081.652981,295
 Blessthefall ,908643.056432,296
 Inception ,907866.280485,297
 Sébastien Léger ,907648.80243,298
 (h?d) p.e. ,907365.255589,299
 Buckcherry ,906891.268145,300
 John Butler Trio ,906609.459572,301
 Darin Epsilon ,905695.643236,302
 DJ M.O.S. ,904961.23584,303
 Hot Chip ,904457.220726,304
 Hatebreed ,903555.787767,305
 Eli Young Band ,902630.816517,306
 Black Lips ,902451.487146,307
 Architects ,901769.256398,308
 Mavis Staples ,901381.340249,309
 Simon Patterson ,901237.475065,310
 ZZ Top ,899982.911728,311
 Sean Tyas ,894906.015929,312
 Portugal. The Man ,894097.183601,313
 Whitechapel ,892793.133422,314
 Martin Buttrich ,892157.90389,315
 John Dahlbäck ,892084.477592,316
 The Black Dahlia Murder ,890400.69505,317
 Danny Daze ,888649.512268,318
 Marcia Ball ,887428.015574,319
 Chick Corea ,886918.311655,320
 DJ Set ,885270.830435,321
 Cancer Bats ,885216.528773,322
 Daedelus ,885049.945238,323
 J.Phlip ,883970.951761,324
 Matisyahu ,882585.085918,325
 Robert Cray ,882357.857688,326
 Brodinski ,881963.247436,327
 Knife Party ,881464.900158,328
 DevilDriver ,880579.253668,329
 Dj Anna ,880567.909154,330
 The Blind Boys of Alabama ,880336.360467,331
 Chris ,879510.951035,332
